Growing trees.. Progress: 9%. Estimated remaining time: 16 minutes, 20 seconds.
Growing trees.. Progress: 12%. Estimated remaining time: 15 minutes, 28 seconds.
Growing trees.. Progress: 15%. Estimated remaining time: 14 minutes, 44 seconds.
Growing trees.. Progress: 19%. Estimated remaining time: 14 minutes, 4 seconds.
Growing trees.. Progress: 22%. Estimated remaining time: 13 minutes, 27 seconds.
Growing trees.. Progress: 25%. Estimated remaining time: 12 minutes, 48 seconds.
Growing trees.. Progress: 28%. Estimated remaining time: 12 minutes, 15 seconds.
Growing trees.. Progress: 31%. Estimated remaining time: 11 minutes, 41 seconds.
Growing trees.. Progress: 35%. Estimated remaining time: 11 minutes, 9 seconds.
Growing trees.. Progress: 38%. Estimated remaining time: 10 minutes, 35 seconds.
Growing trees.. Progress: 41%. Estimated remaining time: 10 minutes, 2 seconds.
Growing trees.. Progress: 44%. Estimated remaining time: 9 minutes, 30 seconds.
Growing trees.. Progress: 47%. Estimated remaining time: 8 minutes, 58 seconds.
Growing trees.. Progress: 51%. Estimated remaining time: 8 minutes, 24 seconds.
Growing trees.. Progress: 54%. Estimated remaining time: 7 minutes, 52 seconds.
Growing trees.. Progress: 57%. Estimated remaining time: 7 minutes, 19 seconds.
Growing trees.. Progress: 60%. Estimated remaining time: 6 minutes, 47 seconds.
Growing trees.. Progress: 62%. Estimated remaining time: 6 minutes, 30 seconds.
Growing trees.. Progress: 64%. Estimated remaining time: 6 minutes, 21 seconds.
Growing trees.. Progress: 66%. Estimated remaining time: 6 minutes, 8 seconds.
Growing trees.. Progress: 68%. Estimated remaining time: 5 minutes, 58 seconds.
Growing trees.. Progress: 71%. Estimated remaining time: 5 minutes, 28 seconds.
Growing trees.. Progress: 73%. Estimated remaining time: 5 minutes, 0 seconds.
Growing trees.. Progress: 76%. Estimated remaining time: 4 minutes, 27 seconds.
Growing trees.. Progress: 79%. Estimated remaining time: 4 minutes, 2 seconds.
Growing trees.. Progress: 81%. Estimated remaining time: 3 minutes, 36 seconds.
Growing trees.. Progress: 84%. Estimated remaining time: 3 minutes, 7 seconds.
Growing trees.. Progress: 86%. Estimated remaining time: 2 minutes, 43 seconds.
Growing trees.. Progress: 88%. Estimated remaining time: 2 minutes, 13 seconds.
Growing trees.. Progress: 91%. Estimated remaining time: 1 minute, 39 seconds.
Growing trees.. Progress: 94%. Estimated remaining time: 1 minute, 6 seconds.
Growing trees.. Progress: 97%. Estimated remaining time: 39 seconds.
Growing trees.. Progress: 99%. Estimated remaining time: 6 seconds.
Growing trees.. Progress: 69%. Estimated remaining time: 14 seconds.
Growing trees.. Progress: 3%. Estimated remaining time: 22 minutes, 28 seconds.
