SALES_SUM,THIRD,PRODUCT_GROUP,PRODUCER
1.17,3,"SINK, VORST",OSKAR LT AS
1.15,2,LAHJAD ALKOH.JOOGID,HARTWALL
0.79,3,PIIM,TERE AS
15.9,1,KOHVRID-KOTID,SAKSAMAA
2.95,3,TUBAKATOOTED,PHILIP MORRIS
1.69,2,TÖÖDELDUD KALATOOTED,ÖSEL FISH OÜ
1.99,1,LAHJAD ALKOH.JOOGID,KARME
1.25,3,PAGARITOOTED,FAZER EESTI AS
1.19,1,MAHL,A. LE COQ
0.49,2,PAGARITOOTED,EESTI PAGAR
0.82,1,KOMMID,ROSHEN
0.89,2,LAHJAD ALKOH.JOOGID,SINEBRYCHOFF AB
0.62,3,PAGARITOOTED,LEIBUR AS
2.09,1,JUUSTUD,VALIO EESTI AS
0.575,3,PIIMATOOTED,VALIO EESTI AS
1.89,4,VÄRSKE PUUVILI,ITAALIA
0.39,3,PIIMATOOTED,LÄTI
1.52,3,JUUSTUD,ESTOVER PIIMATÖÖSTUS
0.89,2,MUNAD,SANLIND
2.69,1,ÕLU,ALDARIS AS
0.65,3,PAGARITOOTED,LEIBUR AS
0.95,3,JOGURT,FARMI PIIMATÖÖSTUS AS
0.95,1,PIIMATOOTED,EESTI
0.35,3,TUBAKATOOTED,HIINA
0.85,2,ÕLU,SAKU ÕLLETEHAS
2.05,1,"SINK, VORST",ATRIA EESTI AS
0.89,1,KOMMID,ROSHEN
0.84,3,KOMMID,ROSHEN
2.37,2,ÕLU,A. LE COQ
0.3,1,PAGARITOOTED,LEIBUR AS
1.39,2,VÄRSKE PUUVILI,SAKSAMAA
0.95,2,PAGARITOOTED,LEIBUR AS
1.19,1,JOGURT,VALIO EESTI AS
2.15,1,PIIMATOOTED,FERRERO
2.7,1,LAHJAD ALKOH.JOOGID,SINEBRYCHOFF AB OY
0.35,2,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
4.99,3,VEIN,TÖRLEY LTD
4.69,3,KOHV,GUSTAV PAULIG LDT
0.99,1,MUNAD,EESTI
1.39,3,KÜLMUT.KÖÖGIVILI,FARM FRITES
5.79,3,ÕLU,A. LE COQ
2.7,2,TUBAKATOOTED,BRITISH AMERICAN TOBACCOLAND
2.79,1,LAHJAD ALKOH.JOOGID,A. LE COQ
3.58,1,VALMISTOIT,ARKE LIHATÖÖSTUS
1.98,1,MAHL,A. LE COQ
0.85,1,PUUVILJAKONSERVID,KOLIATE
1.79,1,JÄÄTIS,INGMAN LEDAI
2.29,2,"SUPID, PULJONGID, KASTMED",SALVEST AS
0.57,3,"SUPID, PULJONGID, KASTMED",PODRAVKA
37.95,3,ÐOKOLAADID,KALEV
1.39,2,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
2.25,2,KONDIITRITOOTED,EESTI LEIVATÖÖSTUS
1.58,3,PIIMATOOTED,TERE AS
2.79,1,"SINK, VORST",SAAREMAA LIHATÖÖSTUS OÜ
1.55,1,KÖÖGIVILJAKONSERV,PÕLTSAMAA FELIX AS
0.35,2,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
3.5,3,TUBAKATOOTED,PHILIP MORRIS
0.45,3,VÄRSKE PUUVILI,ECUADOR
4.99,2,ÕLU,A. LE COQ
0.75,3,PAGARITOOTED,FAZER EESTI AS
0.77,3,PAGARITOOTED,EESTI PAGAR
5.59,1,KUIV.PUUV. JA PÄHKLID,GERMUND
2.9,1,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
0.89,3,KOMMID,KALEV
28.58,1,KANGE ALKOHOL,ALCORDISTILLERY OÜ
0.45,3,KONDIITRITOOTED,FRITO-LAY POLAND
0.63,4,KODUKEEMIA,EESTI
0.79,3,PAGARITOOTED,EESTI PAGAR
0.69,3,"SINK, VORST",ATRIA EESTI AS
1.69,3,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
0.69,3,VÄRSKE KÖÖGIVILI,EESTI
1.45,2,"SUPID, PULJONGID, KASTMED",EESTI
0.73,1,JOGURT,FARMI PIIMATÖÖSTUS AS
1.08,1,PIIM,FARMI PIIMATÖÖSTUS AS
1.25,2,"SINK, VORST",EESTI
4.5,3,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
0.52,1,JÄÄTIS,UNILEVER
2.65,3,KODUKAUBAD,GEORGIA PACIFIC
11.37,3,KODUKEEMIA,COLGATE&PALMOLIVE
0.69,1,ÕLU,A. LE COQ
0.35,1,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
1.15,2,KODUKEEMIA,EESTI
4.49,1,JUUSTUD,E-PIIM TOOTMINE AS
0.95,2,LAHJAD ALKOH.JOOGID,SAKU ÕLLETEHAS
6.19,2,KONDIITRITOOTED,EESTI PAGAR
2.69,2,KANGE ALKOHOL,LIVIKO
0.55,2,MAITSEAINED,HISPAANIA
1.64,2,VESI,ALDARIS AS
7.04,3,VÄRSKE LIHA,TALLEGG AS
0.69,1,PIIMATOOTED,VALIO EESTI AS
1.98,3,MUNAD,EESTI
0.64,2,PAGARITOOTED,FAZER EESTI AS
0.57,3,SUHKUR,SOOME
0.29,1,MAITSEAINED,VALGEVENE
1.09,2,"SUPID, PULJONGID, KASTMED",UNILEVER
1.48,1,VÄRSKE KÖÖGIVILI,HISPAANIA
1.16,2,KONDIITRITOOTED,KAUBAMAJA PAGARIÄRI
0.99,1,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
0.56,1,PIIM,FARMI PIIMATÖÖSTUS AS
2.75,3,TUBAKATOOTED,PHILIP MORRIS
0.5,2,PÕHIROA KONTSENTRAADID,OOO MAREVEN FOOD
1.99,1,"SINK, VORST",NÕO LIHATÖÖSTUS AS
2.19,2,"SINK, VORST",TALLEGG AS
2.7075,3,KÜLMAD KASTMED,POOLA
0.6,2,VÄRSKE PUUVILI,PANAMA
0.5,2,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
1.55,4,"SINK, VORST",ARKE LIHATÖÖSTUS
0.85,1,KARASTUS-JA TONISEERIVAD JOOGID,VIRU ÕLU
0.79,3,PIIMATOOTED,TERE AS
1.15,2,ÕLU,SAKU ÕLLETEHAS
3,3,PASTA,PASTA ZARA
0.59,3,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
1.69,1,HOMMIKUSÖÖGID,SOJAPRAGA
0.55,3,HOMMIKUSÖÖGID,BALSNACK
0.57,1,VESI,EESTI
6.09,1,ÕLU,A. LE COQ
5.19,3,KANGE ALKOHOL,LIVIKO
0.65,2,ÐOKOLAADID,LEAF
0.98,1,VÄRSKE KÖÖGIVILI,TÜRGI
5.5,2,TUBAKATOOTED,PHILIP MORRIS
0.5,2,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
1.75,2,KARASTUS-JA TONISEERIVAD JOOGID,JACHIN
0.79,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
1.35,1,KÜLMAD KASTMED,TARPLANI KAUBANDUSE OÜ
1.19,1,MAITSEAINED,MAADLEX OÜ
1.34,1,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
9.99,4,KANGE ALKOHOL,ALCORDISTILLERY OÜ
0.55,1,PIIM,VALIO EESTI AS
0.25,3,TUBAKATOOTED,HIINA
1.7,2,PIIM,TERE AS
1.36,2,KRÕPSUD,FRITO-LAY POLAND
0.65,3,"KÜPSISED, VAHVLID",MARMITON
2.99,2,LEMMIKLOOMAKAUBAD,HIINA
4.25,1,VEIN,EXPORT UNION INTERNATIONAL
3.99,3,KOSMEETIKA,LOREAL
